2017-09-12 05:07:49.851 client 52.32.115.31:52360	goodput 358.76 kbps	throughput 359.16 kbps	latency 57.000 ms	accuracy 0.8780
2017-09-12 05:07:49.921 client 13.58.116.243:35662	goodput 499.136 kbps	throughput 499.536 kbps	latency 75.500 ms	accuracy 0.8235
2017-09-12 05:07:49.935 client 52.23.155.130:36534	goodput 499.136 kbps	throughput 499.536 kbps	latency 90.000 ms	accuracy 0.8235
2017-09-12 05:07:50.851 client 52.32.115.31:52360	goodput 462.848 kbps	throughput 463.248 kbps	latency 15.500 ms	accuracy 0.7556
2017-09-12 05:07:50.921 client 13.58.116.243:35662	goodput 322.472 kbps	throughput 322.872 kbps	latency 23.000 ms	accuracy 0.7500
2017-09-12 05:07:50.936 client 52.23.155.130:36534	goodput 322.472 kbps	throughput 322.872 kbps	latency 27.000 ms	accuracy 0.7500
2017-09-12 05:07:51.851 client 52.32.115.31:52360	goodput 928.24 kbps	throughput 928.64 kbps	latency 41.667 ms	accuracy 0.8235
2017-09-12 05:07:51.921 client 13.58.116.243:35662	goodput 647.976 kbps	throughput 648.376 kbps	latency 76.500 ms	accuracy 0.7887
2017-09-12 05:07:51.936 client 52.23.155.130:36534	goodput 647.976 kbps	throughput 648.376 kbps	latency 91.000 ms	accuracy 0.7887
2017-09-12 05:07:52.851 client 52.32.115.31:52360	goodput 919.808 kbps	throughput 920.208 kbps	latency 69.000 ms	accuracy 0.9091
2017-09-12 05:07:52.921 client 13.58.116.243:35662	goodput 1200.072 kbps	throughput 1200.472 kbps	latency 60.667 ms	accuracy 0.9076
2017-09-12 05:07:52.936 client 52.23.155.130:36534	goodput 1597.256 kbps	throughput 1597.656 kbps	latency 61.750 ms	accuracy 0.8994
2017-09-12 05:07:53.851 client 52.32.115.31:52360	goodput 1670.336 kbps	throughput 1670.736 kbps	latency 67.000 ms	accuracy 0.8806
2017-09-12 05:07:53.921 client 13.58.116.243:35662	goodput 1097.128 kbps	throughput 1097.528 kbps	latency 78.000 ms	accuracy 0.8750
2017-09-12 05:07:53.936 client 52.23.155.130:36534	goodput 699.944 kbps	throughput 700.344 kbps	latency 94.000 ms	accuracy 0.8696
2017-09-12 05:07:54.851 client 52.32.115.31:52360	goodput 2041.456 kbps	throughput 2041.856 kbps	latency 18.429 ms	accuracy 0.8625
